Pathway,trait
ARGSYNBSUB-PWY,Amino acid metabolism
COA-PWY,Energy metabolism
PEPTIDOGLYCANSYN-PWY,Cell wall integrity
PWY-5667,Membrane integrity
PWY-6121,Genomic stability
PWY-6123,Genomic stability
RUMP-PWY,Stress resistance
PWY0-1319,Membrane integrity
PWY-7228,Genomic stability
PWY-7242,Carbohydrate metabolism
UDPNAGSYN-PWY,Cell wall integrity
PWY-7219,Fermentation efficiency
PWY-7208,Genomic stability
PWY-7197,Genomic stability
PWY-7221,Genomic stability
PWY-6387,Cell wall integrity
PWY-841,Genomic stability
P122-PWY,Lactic acid production
PWY-5840,Fermentation efficiency
ARGSYN-PWY,Amino acid metabolism
PWY0-162,Genomic stability
PWY-7184,Genomic stability
PWY-7229,Fermentation efficiency
PWY-6386,Cell wall integrity
PWY-6125,Genomic stability
ARO-PWY,Amino acid metabolism
PWY-6126,Energy metabolism
P124-PWY,Carbohydrate metabolism
PWY-5837,Fermentation efficiency
PWY-6163,Amino acid metabolism
PWY-5686,Genomic stability
PWY4FS-8,Membrane integrity
PWY-7234,Genomic stability
PWY4FS-7,Membrane integrity
PWY-6317,carbohydrate metabolism
GLUTORN-PWY,Amino acid metabolism
PWY-621,Carbohydrate metabolism
PWY-6277,Genomic stability
PWY-6897,Fermentation efficiency
PWY-6122,Genomic stability
P161-PWY,Fermentation efficiency
GLYCOGENSYNTH-PWY,Energy metabolism
POLYISOPRENSYN-PWY,Membrane integrity
PWY-5899,Fermentation efficiency
PWY-5898,Fermentation efficiency
PWY-5897,Fermentation efficiency
PWY-5973,Membrane integrity




