ec_number,trait
EC:2.7.7.7,Genomic stability
EC:2.7.1.69,Enzyme regulation
EC:3.6.4.12,Genomic stability
EC:3.6.3.14,Acid tolerance
EC:3.6.3.21,Amino acid metabolism
EC:3.6.3.34,Metabolic activity
EC:2.7.7.6,Protein synthesis
EC:5.99.1.2,Genomic stability
EC:3.6.3.12,Salt tolerance
EC:4.4.1.8,Flavor enhancement
EC:3.4.16.4,Cell wall integrity
EC:1.1.1.1,Carbohydrate metabolism
EC:6.4.1.2,Metabolic activity
EC:6.3.5.6,Protein synthesis
EC:5.2.1.8,Protein synthesis
EC:6.3.5.7,Protein synthesis
EC:2.3.1.128,Protein synthesis
EC:1.3.5.4,Fermentation efficiency
EC:3.1.26.4,Genomic stability
EC:1.4.1.13,Amino acid metabolism
EC:2.1.1.63,Genomic stability
EC:1.97.1.4,Fermentation efficiency
EC:1.4.1.14,Amino acid metabolism
EC:1.1.1.95,Amino acid metabolism
EC:3.2.1.52,Flavor & texture modification
EC:3.1.3.16,Stress response
EC:3.1.11.6,DNA repair
EC:2.7.8.20,Cell wall integrity
EC:2.7.7.63,Fermentation efficiency
EC:2.4.2.52,Fermentation efficiency
EC:2.4.2.9,Fermentation efficiency
EC:2.7.6.5,Stress response
EC:2.3.1.15,Membrane integrity
EC:2.3.1.39,Membrane integrity
EC:2.4.2.1,Nucleotide metabolism
EC:1.11.1.15,Oxidative stress resistance
EC:3.6.3.3,Salt tolerance
EC:3.6.3.5,Salt tolerance
EC:3.6.3.28,Carbohydrate metabolism
EC:3.6.3.27,Carbohydrate metabolism
EC:4.2.1.33,Amino acid metabolism
EC:4.2.1.20,Amino acid metabolism
EC:4.1.3.27,Amino acid metabolism
EC:4.1.1.3,Fermentation efficiency
EC:3.6.4.13,Enzyme regulation
EC:3.6.3.8,Membrane integrity
EC:5.1.1.1,Cell wall integrity
EC:4.2.1.35,Amino acid metabolism
EC:5.4.2.12,Fermentation efficiency
EC:5.3.1.6,Fermentation efficiency
EC:4.2.99.18,DNA repair
EC:5.99.1.3,DNA replication
EC:6.3.4.19,Amino acid metabolism
EC:6.1.1.20,Amino acid metabolism
EC:6.1.1.14,Amino acid metabolism
EC:6.3.5.5,Amino acid metabolism


